Id,SalePrice
1461,137666.0
1462,152743.74
1463,159314.34
1464,181005.0
1465,233055.0
1466,172411.85
1467,155129.0
1468,174339.9833333333
1469,178425.42
1470,105332.63
1471,198509.295
1472,90489.34761904764
1473,95891.5
1474,150089.34999999998
1475,161282.0
1476,350517.22
1477,247616.54
1478,335020.56
1479,267974.08
1480,468600.26
1481,312884.98
1482,221830.475
1483,163324.52
1484,180785.95
1485,164696.46285714288
1486,191666.1
1487,358113.97
1488,251198.06
1489,191737.0
1490,182669.66666666663
1491,188643.0
1492,121839.86
1493,162396.34
1494,305118.09
1495,282911.24
1496,210348.07
1497,206252.8
1498,150271.65
1499,150271.65
1500,136994.32
1501,174067.85
1502,153384.0
1503,246533.94
1504,227758.5
1505,219186.18
1506,219015.61
1507,235178.68
1508,207208.0
1509,167500.0
1510,132977.11
1511,151468.72
1512,178730.5
1513,178640.64
1514,144385.0
1515,157207.34
1516,160705.34
1517,141662.0
1518,140692.28
1519,214057.88
1520,140008.5
1521,146015.25
1522,171879.5
1523,124179.14333333334
1524,127713.52
1525,119907.5
1526,125254.5
1527,106184.84
1528,126221.72
1529,151349.37
1530,158792.08
1531,148088.85
1532,98541.5
1533,159580.0
1534,126338.3
1535,129444.55666666666
1536,127099.5
1537,88346.3
1538,176224.5
1539,244447.5
1540,131915.22
1541,172634.7
1542,137008.35
1543,222092.0
1544,92807.08
1545,100366.5
1546,131097.5
1547,137209.92
1548,147709.16
1549,115917.0
1550,156592.68
1551,141167.5
1552,142293.0
1553,135176.98
1554,123183.82
1555,173614.5
1556,106727.0
1557,132216.0
1558,96366.5
1559,127421.73
1560,136965.17
1561,144137.33333333334
1562,122544.45
1563,120091.5
1564,160473.0
1565,164704.34
1566,202275.84
1567,103625.5
1568,208251.0
1569,132689.16
1570,123213.66666666666
1571,134530.77
1572,146113.75
1573,239952.5
1574,159323.82
1575,189307.8
1576,202790.75
1577,193951.0
1578,164726.22
1579,133948.5
1580,193323.5
1581,130318.0
1582,126623.53333333334
1583,339163.95
1584,249550.0
1585,143086.6762987013
1586,70605.96666666667
1587,95259.16666666666
1588,142549.75
1589,112024.33
1590,131288.0
1591,107971.42
1592,130437.05
1593,139260.4751082251
1594,141636.7
1595,133867.8
1596,245882.81
1597,143223.88
1598,174777.88333333336
1599,202649.35
1600,209095.0
1601,53920.85
1602,127802.0
1603,91725.18
1604,247130.0
1605,260251.55
1606,168709.62
1607,203044.53
1608,190506.84
1609,178095.0
1610,142325.57
1611,144626.81
1612,194255.0
1613,160978.0
1614,121206.0
1615,90701.5
1616,90701.5
1617,95304.26
1618,131745.25
1619,128546.49761904762
1620,159872.09
1621,132729.64
1622,145179.52
1623,265661.76
1624,196516.75
1625,134345.10555555555
1626,180309.98666666663
1627,182086.0
1628,250955.19
1629,171987.2
1630,342180.08
1631,229139.9
1632,252050.5
1633,164580.11619047623
1634,174762.1666666667
1635,181225.32
1636,157487.64
1637,159031.0
